number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_factor,params_kernel_size,params_l1_lambda,params_lr,params_num_channels,params_patience,params_seq_len,params_wd,state
75,inf,2026-02-12 10:49:33.377534,2026-02-12 10:49:33.432429,0 days 00:00:00.054895,32,0.1362701469074672,0.41081180321044536,4,1.0514041712252785e-05,0.043767058214713196,"[128, 128, 128]",5,24,4.803537210117839e-06,COMPLETE
76,inf,2026-02-12 10:49:33.686527,2026-02-12 10:49:34.012293,0 days 00:00:00.325766,16,0.11163794753784057,0.3515322492383572,3,0.0005869550974153207,0.01613033297255859,"[256, 256, 256]",5,24,1.1548808275097078e-06,COMPLETE
77,inf,2026-02-12 10:49:33.985262,2026-02-12 10:49:34.023800,0 days 00:00:00.038538,32,0.3405863406343835,0.4907892535977353,4,0.0026047718817397147,0.011749943374065059,[128],5,18,2.7922122723864975e-06,COMPLETE
78,inf,2026-02-12 10:49:34.535452,2026-02-12 10:49:34.573328,0 days 00:00:00.037876,64,0.32972402038290194,0.47183446618480124,2,0.0005026532157571224,0.00938422710842108,[64],5,18,1.205109546394178e-05,COMPLETE
79,inf,2026-02-12 10:49:34.577321,2026-02-12 10:49:35.089712,0 days 00:00:00.512391,32,0.15456650693123453,0.4151211529847887,2,0.0007738151976010655,0.04634798352107487,[256],10,18,2.6081372703878193e-05,COMPLETE
80,inf,2026-02-12 10:49:34.827480,2026-02-12 10:49:35.112041,0 days 00:00:00.284561,16,0.13484635781328252,0.40956418944931117,3,1.0889815604417032e-05,0.005764221453650369,"[64, 64, 64]",5,24,1.0007210433607977e-06,COMPLETE
81,inf,2026-02-12 10:49:35.082712,2026-02-12 10:49:35.138422,0 days 00:00:00.055710,16,0.3206606726371841,0.45171824900367846,5,6.406920478630993e-05,0.026603661942792123,[256],5,24,1.8206716627853286e-05,COMPLETE
82,inf,2026-02-12 10:49:35.093508,2026-02-12 10:49:35.126388,0 days 00:00:00.032880,64,0.3268274449097371,0.4686168334072772,2,0.0017564462368061123,0.02618200662629404,"[256, 256, 256]",10,12,7.476679269810823e-06,COMPLETE
83,inf,2026-02-12 10:49:35.892760,2026-02-12 10:49:36.254054,0 days 00:00:00.361294,64,0.17318380298800082,0.3149073836488922,5,0.008258701295867208,0.0033114943719458295,"[256, 256]",10,18,1.366475342734624e-06,COMPLETE
84,inf,2026-02-12 10:49:35.895925,2026-02-12 10:49:36.255053,0 days 00:00:00.359128,64,0.15078937677028445,0.3196146400174542,5,0.009014114693086701,0.010974214221662082,[64],10,18,1.3445145212286265e-06,COMPLETE
85,inf,2026-02-12 10:49:36.258673,2026-02-12 10:49:36.279885,0 days 00:00:00.021212,16,0.17718824223704588,0.38305879626884654,4,3.3488951103322756e-05,0.024563225078410172,"[64, 64]",5,24,2.2938459465215732e-06,COMPLETE
86,inf,2026-02-12 10:49:36.519876,2026-02-12 10:49:36.552652,0 days 00:00:00.032776,32,0.28266756770889995,0.34440278664292767,4,0.0053086986025625525,0.01278399928297893,"[64, 64]",5,18,1.7481746094251088e-06,COMPLETE
87,inf,2026-02-12 10:49:36.792405,2026-02-12 10:49:37.164555,0 days 00:00:00.372150,32,0.35490868611895615,0.37538319426839206,2,0.009899441214125717,0.02888862625965369,"[128, 128, 128]",5,18,6.419978222575548e-06,COMPLETE
88,inf,2026-02-12 10:49:37.385154,2026-02-12 10:49:37.688479,0 days 00:00:00.303325,64,0.23496384159995948,0.4011107976395561,5,2.196562228073756e-05,0.031254818446218344,"[64, 64]",5,24,1.1443578950125009e-05,COMPLETE
89,inf,2026-02-12 10:49:37.420469,2026-02-12 10:49:37.990476,0 days 00:00:00.570007,64,0.39972186667926396,0.47436675573939724,5,0.0002888288383468145,0.033083390987983484,"[256, 256, 256]",5,18,5.007931562248527e-06,COMPLETE
90,inf,2026-02-12 10:49:37.714783,2026-02-12 10:49:38.054977,0 days 00:00:00.340194,64,0.1251927495284568,0.20666381534958306,4,0.00771906154002655,0.00973048091617768,"[128, 128, 128]",10,18,4.039511552007549e-06,COMPLETE
91,inf,2026-02-12 10:49:37.956816,2026-02-12 10:49:38.060959,0 days 00:00:00.104143,16,0.14326279463465635,0.4395754183950726,4,2.369236770323979e-05,0.004276640733283958,"[128, 128, 128]",5,24,2.810075733174161e-06,COMPLETE
92,inf,2026-02-12 10:49:37.988478,2026-02-12 10:49:38.290779,0 days 00:00:00.302301,32,0.2959487179700511,0.45953337793244087,2,1.0475181903910753e-05,0.0005042026319083728,[128],10,12,9.216152102219345e-05,COMPLETE
93,inf,2026-02-12 10:49:38.520299,2026-02-12 10:49:38.852192,0 days 00:00:00.331893,64,0.38438817567590866,0.4980091820168837,3,0.00041926158421514586,0.0007797415923875888,"[64, 64]",5,18,1.715523190836197e-05,COMPLETE
94,inf,2026-02-12 10:49:38.841681,2026-02-12 10:49:38.876557,0 days 00:00:00.034876,64,0.3764780522937668,0.42554477634317167,3,0.0007398939700303665,0.0010738434271152474,"[64, 64]",5,18,1.91462088943469e-05,COMPLETE
95,inf,2026-02-12 10:49:39.430270,2026-02-12 10:49:39.762043,0 days 00:00:00.331773,16,0.2326329046964116,0.4177586745641095,2,0.00011597904310858209,0.023940608174451837,[128],10,18,5.337193210187359e-05,COMPLETE
96,inf,2026-02-12 10:49:39.434039,2026-02-12 10:49:39.723896,0 days 00:00:00.289857,32,0.29979574439447143,0.38930549825547156,5,0.00029676859034270705,0.0005547680900057401,"[64, 64]",5,18,3.682608357329625e-05,COMPLETE
97,inf,2026-02-12 10:49:39.676303,2026-02-12 10:49:39.769043,0 days 00:00:00.092740,16,0.2657203153888446,0.4533839705557215,5,1.8888386615285663e-05,0.03253692612854201,"[64, 64]",5,18,2.079257263797293e-05,COMPLETE
98,inf,2026-02-12 10:49:39.719900,2026-02-12 10:49:39.765043,0 days 00:00:00.045143,16,0.2941982800646762,0.3540579293041745,4,0.009679568703857886,0.03973138449201906,[128],5,18,1.223459828345206e-06,COMPLETE
99,inf,2026-02-12 10:49:40.494286,2026-02-12 10:49:40.518117,0 days 00:00:00.023831,16,0.32914968889093804,0.3986962014897348,4,1.2076517602980712e-05,0.027531454858506565,"[64, 64]",5,24,2.647584703232145e-05,COMPLETE
